Date,Total_GB,PPI,CPI,EMP,AWE,IOP,CC-Barometer,seasonal_Jan,seasonal_Feb,seasonal_Mar,seasonal_Apr,seasonal_May,seasonal_Jun,seasonal_Jul,seasonal_Aug,seasonal_Sep,seasonal_Oct,seasonal_Nov,accounting_jan,diff_1,diff_12_1
1988-05-01,9.287571,60.2,49.5,70.7,164.2,73.1,0.2687731,0,0,0,0,1,0,0,0,0,0,0,0,,
1988-06-01,11.655445,60.1,49.7,70.8,166.6,73.4,-0.07505475,0,0,0,0,0,1,0,0,0,0,0,0,2.3678740000000005,
1988-07-01,9.774363,60.5,49.7,70.9,169.7,73.8,-0.06438097,0,0,0,0,0,0,1,0,0,0,0,0,-1.881082000000001,
1988-08-01,9.640467,60.7,49.9,71.1,168.7,74.5,-0.1181078,0,0,0,0,0,0,0,1,0,0,0,0,-0.13389600000000002,
1988-09-01,11.808897,60.7,50.1,71.3,168.9,75.3,-0.2364949,0,0,0,0,0,0,0,0,1,0,0,0,2.1684300000000007,
1988-10-01,10.046087,60.9,50.3,71.4,169.9,74.4,-0.1939545,0,0,0,0,0,0,0,0,0,1,0,0,-1.76281,
1988-11-01,10.947036,61.0,50.5,71.5,173.6,75.2,0.1295543,0,0,0,0,0,0,0,0,0,0,1,0,0.9009490000000007,
1988-12-01,17.132083,61.2,50.6,71.7,178.7,74.7,-0.3665956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6.185047000000001,
1989-01-01,9.610446,61.9,50.8,71.9,175.4,75.1,-0.06493138,1,0,0,0,0,0,0,0,0,0,0,0,-7.521637000000002,
1989-02-01,9.489358,62.1,51.0,72.1,176.0,75.3,0.2057496,0,1,0,0,0,0,0,0,0,0,0,0,-0.1210880000000003,
1989-03-01,12.210515,62.4,51.2,72.3,181.1,74.3,-0.4538811,0,0,1,0,0,0,0,0,0,0,0,0,2.721157,
1989-04-01,10.002438,62.8,51.9,72.4,180.0,76.2,-0.08684773,0,0,0,1,0,0,0,0,0,0,0,0,-2.2080769999999994,
1989-05-01,10.239528,63.2,52.2,72.4,179.9,74.2,0.162981,0,0,0,0,1,0,0,0,0,0,0,0,0.23709000000000024,
1989-06-01,12.521506,63.2,52.3,72.5,182.6,74.2,-0.4230612,0,0,0,0,0,1,0,0,0,0,0,0,2.2819780000000005,-0.08589599999999997
1989-07-01,10.320244,63.2,52.3,72.5,184.6,74.4,0.1307257,0,0,0,0,0,0,1,0,0,0,0,0,-2.201262,-0.3201799999999988
1989-08-01,10.24563,63.3,52.4,72.6,184.5,76.0,0.06527752,0,0,0,0,0,0,0,1,0,0,0,0,-0.0746140000000004,0.05928199999999961
1989-09-01,12.723571,63.6,52.7,72.6,186.4,75.6,0.2718123,0,0,0,0,0,0,0,0,1,0,0,0,2.4779409999999995,0.30951099999999876
1989-10-01,10.672222,63.9,53.1,72.7,187.7,75.2,-0.8457553,0,0,0,0,0,0,0,0,0,1,0,0,-2.051349,-0.2885390000000001
1989-11-01,11.546046,64.1,53.3,72.8,189.3,75.8,0.1530971,0,0,0,0,0,0,0,0,0,0,1,0,0.8738240000000008,-0.027124999999999844
1989-12-01,18.331432,64.3,53.4,72.8,192.3,75.7,0.1419443,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6.785385999999999,0.6003389999999982
1990-01-01,10.353526,65.0,53.6,72.8,193.0,74.9,0.2725828,1,0,0,0,0,0,0,0,0,0,0,0,-7.977905999999999,-0.45626899999999715
1990-02-01,10.348983,65.0,54.0,72.8,195.8,74.4,-0.2935891,0,1,0,0,0,0,0,0,0,0,0,0,-0.004542999999999964,0.11654500000000034
1990-03-01,13.1789,65.4,54.2,72.8,197.5,75.5,-0.8397381,0,0,1,0,0,0,0,0,0,0,0,0,2.829917,0.10876000000000019
1990-04-01,10.895797,66.2,55.2,72.8,197.9,76.0,0.241957,0,0,0,1,0,0,0,0,0,0,0,0,-2.2831030000000005,-0.07502600000000115
1990-05-01,11.120556,66.4,55.7,72.8,199.8,75.5,-0.0329145,0,0,0,0,1,0,0,0,0,0,0,0,0.2247590000000006,-0.012330999999999648
1990-06-01,13.473117,66.3,55.9,72.8,204.6,76.6,0.1646267,0,0,0,0,0,1,0,0,0,0,0,0,2.3525609999999997,0.07058299999999917
1990-07-01,11.301103,66.4,55.8,72.8,206.5,74.8,0.2081844,0,0,0,0,0,0,1,0,0,0,0,0,-2.1720140000000008,0.029247999999999053
1990-08-01,10.991239,67.0,56.4,72.7,205.6,74.9,-0.05467155,0,0,0,0,0,0,0,1,0,0,0,0,-0.30986399999999925,-0.23524999999999885
1990-09-01,13.613687,67.8,57.0,72.6,204.7,74.5,-0.2188058,0,0,0,0,0,0,0,0,1,0,0,0,2.6224480000000003,0.14450700000000083
1990-10-01,11.289276,68.4,57.4,72.4,204.6,74.4,0.5591784,0,0,0,0,0,0,0,0,0,1,0,0,-2.3244110000000013,-0.27306200000000125
1990-11-01,12.058519,68.3,57.5,72.3,208.6,74.0,-0.2507762,0,0,0,0,0,0,0,0,0,0,1,0,0.7692430000000012,-0.10458099999999959
1990-12-01,19.213204,68.0,57.5,72.1,213.7,73.7,0.950973,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7.154685000000001,0.3692990000000016
1991-01-01,13.377254,68.6,57.4,71.9,211.0,73.5,-0.8445649,1,0,0,0,0,0,0,0,0,0,0,1,-5.83595,2.1419559999999986
1991-02-01,10.520308,68.7,57.7,71.7,213.3,73.5,0.1201198,0,1,0,0,0,0,0,0,0,0,0,0,-2.8569460000000007,-2.8524030000000007
1991-03-01,14.052199,68.1,57.9,71.5,214.3,72.7,0.6980403,0,0,1,0,0,0,0,0,0,0,0,0,3.531891,0.7019739999999999
1991-04-01,11.280904,67.9,59.9,71.2,214.8,71.7,0.06498764,0,0,0,1,0,0,0,0,0,0,0,0,-2.7712950000000003,-0.48819199999999974
1991-05-01,11.229194,68.4,60.3,71.0,216.0,72.6,-0.02164848,0,0,0,0,1,0,0,0,0,0,0,0,-0.05170999999999992,-0.2764690000000005
1991-06-01,14.191245,67.9,60.6,70.7,218.3,72.8,-0.05413291,0,0,0,0,0,1,0,0,0,0,0,0,2.9620510000000007,0.609490000000001
1991-07-01,11.809528,68.1,60.5,70.5,220.9,72.2,-0.2274814,0,0,0,0,0,0,1,0,0,0,0,0,-2.381717,-0.2097029999999993
1991-08-01,11.358798,67.6,60.9,70.3,221.0,71.4,0.228,0,0,0,0,0,0,0,1,0,0,0,0,-0.4507300000000001,-0.14086600000000082
1991-09-01,14.150948,67.6,61.1,70.1,220.8,71.5,0.411633,0,0,0,0,0,0,0,0,1,0,0,0,2.7921499999999995,0.16970199999999913
1991-10-01,11.711833,67.8,61.3,69.9,220.2,72.4,0.269701,0,0,0,0,0,0,0,0,0,1,0,0,-2.4391149999999993,-0.11470399999999792
1991-11-01,12.717082,67.9,61.5,69.8,224.0,72.6,-0.2151804,0,0,0,0,0,0,0,0,0,0,1,0,1.0052489999999992,0.23600599999999794
1991-12-01,19.196862,67.5,61.6,69.6,226.6,72.3,-0.2803378,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6.47978,-0.6749050000000008
1992-01-01,11.240859,67.3,61.4,69.5,226.5,72.3,-0.1513755,1,0,0,0,0,0,0,0,0,0,0,0,-7.956002999999999,-2.1200529999999986
1992-02-01,11.137865,67.5,61.7,69.4,229.9,72.7,0.3356968,0,1,0,0,0,0,0,0,0,0,0,0,-0.1029940000000007,2.753952
1992-03-01,14.023792,67.6,62.0,69.3,233.8,72.4,0.3021955,0,0,1,0,0,0,0,0,0,0,0,0,2.8859270000000006,-0.6459639999999993
1992-04-01,11.783725,67.8,62.7,69.2,228.0,72.9,0.118362,0,0,0,1,0,0,0,0,0,0,0,0,-2.240067,0.5312280000000005
1992-05-01,11.683859,68.1,62.9,69.1,228.9,71.4,0.04298984,0,0,0,0,1,0,0,0,0,0,0,0,-0.09986600000000045,-0.04815600000000053
1992-06-01,14.636809,68.2,62.9,69.0,231.7,72.1,-0.333028,0,0,0,0,0,1,0,0,0,0,0,0,2.9529499999999995,-0.009101000000001136
1992-07-01,11.760353,67.9,62.6,68.9,234.0,72.8,-0.5066006,0,0,0,0,0,0,1,0,0,0,0,0,-2.8764559999999992,-0.49473899999999915
1992-08-01,11.711597,67.7,62.7,68.9,232.4,72.7,-0.3683431,0,0,0,0,0,0,0,1,0,0,0,0,-0.04875600000000091,0.40197399999999917
1992-09-01,14.537532,67.9,62.9,68.8,231.4,73.2,-0.3805785,0,0,0,0,0,0,0,0,1,0,0,0,2.825935000000001,0.03378500000000173
1992-10-01,12.151288,68.2,63.1,68.7,231.9,74.0,-0.305626,0,0,0,0,0,0,0,0,0,1,0,0,-2.3862440000000014,0.05287099999999789
1992-11-01,13.101194,68.7,63.1,68.5,233.0,73.0,-0.01094868,0,0,0,0,0,0,0,0,0,0,1,0,0.9499060000000004,-0.05534299999999881
1992-12-01,19.579217,68.6,63.2,68.4,237.2,72.9,0.2299474,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6.478023,-0.0017569999999995645
1993-01-01,11.573305,69.0,62.8,68.3,235.0,73.0,0.7101089,1,0,0,0,0,0,0,0,0,0,0,0,-8.005912,-0.04990900000000131
1993-02-01,11.586856,69.4,63.2,68.4,238.0,74.0,-0.3037362,0,1,0,0,0,0,0,0,0,0,0,0,0.013550999999999647,0.11654500000000034
1993-03-01,14.827218,69.9,63.6,68.3,238.7,73.4,0.04352308,0,0,1,0,0,0,0,0,0,0,0,0,3.240362000000001,0.3544350000000005
1993-04-01,12.219456,69.8,64.3,68.4,236.3,73.5,-0.1196364,0,0,0,1,0,0,0,0,0,0,0,0,-2.607762000000001,-0.3676950000000012
1993-05-01,12.099943,69.8,64.5,68.4,236.8,74.0,0.4464517,0,0,0,0,1,0,0,0,0,0,0,0,-0.11951299999999954,-0.019646999999999082
1993-06-01,15.253843,69.9,64.5,68.4,238.2,73.6,-0.4336267,0,0,0,0,0,1,0,0,0,0,0,0,3.1539,0.20095000000000063
1993-07-01,12.363043,69.8,64.2,68.4,241.5,74.2,0.2177576,0,0,0,0,0,0,1,0,0,0,0,0,-2.8908000000000005,-0.014344000000001245
1993-08-01,12.250653,69.7,64.5,68.5,238.4,74.4,0.3585193,0,0,0,0,0,0,0,1,0,0,0,0,-0.11238999999999955,-0.06363399999999864
1993-09-01,15.34444,69.8,64.8,68.5,237.2,74.7,0.04330164,0,0,0,0,0,0,0,0,1,0,0,0,3.0937870000000007,0.26785199999999953
1993-10-01,12.739611,69.8,64.7,68.5,236.9,74.9,-0.3679047,0,0,0,0,0,0,0,0,0,1,0,0,-2.6048290000000005,-0.21858499999999914
